Barcode_plot,uri,Date event,Category,Subject,Content
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000105,25/05/2017,Expert Annotation,Emergence,
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000105,28/05/2017,Expert Annotation,3 leaf stage,
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000105,09/07/2017,Expert Annotation,Anthesis time,
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000105,12/07/2017,Expert Annotation,Silking time,
105/DZ_PG_02/ZM4356/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000105,22/09/2017,Operation,Harvesting,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,19/05/2017,Operation,Sowing,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,25/05/2017,Expert Annotation,Emergence,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,28/05/2017,Expert Annotation,3 leaf stage,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,07/07/2017,Expert Annotation,Anthesis time,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,07/07/2017,Expert Annotation,Silking time,
106/DZ_PG_24/ZM4342/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000106,22/09/2017,Operation,Harvesting,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,19/05/2017,Operation,Sowing,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,25/05/2017,Expert Annotation,Emergence,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,28/05/2017,Expert Annotation,3 leaf stage,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,11/07/2017,Expert Annotation,Anthesis time,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,12/07/2017,Expert Annotation,Silking time,
107/DZ_PG_52/ZM4370/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000107,22/09/2017,Operation,Harvesting,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,19/05/2017,Operation,Sowing,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,25/05/2017,Expert Annotation,Emergence,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,28/05/2017,Expert Annotation,3 leaf stage,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,12/07/2017,Expert Annotation,Anthesis time,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,12/07/2017,Expert Annotation,Silking time,
108/DZ_PG_34/ZM4384/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000108,22/09/2017,Operation,Harvesting,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,19/05/2017,Operation,Sowing,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,25/05/2017,Expert Annotation,Emergence,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,28/05/2017,Expert Annotation,3 leaf stage,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,07/07/2017,Expert Annotation,Anthesis time,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,08/07/2017,Expert Annotation,Silking time,
109/DZ_PG_46/ZM4374/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000109,22/09/2017,Operation,Harvesting,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,19/05/2017,Operation,Sowing,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,25/05/2017,Expert Annotation,Emergence,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,28/05/2017,Expert Annotation,3 leaf stage,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,12/07/2017,Expert Annotation,Anthesis time,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,12/07/2017,Expert Annotation,Silking time,
11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000011,22/09/2017,Operation,Harvesting,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,19/05/2017,Operation,Sowing,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,25/05/2017,Expert Annotation,Emergence,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,28/05/2017,Expert Annotation,3 leaf stage,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,13/07/2017,Expert Annotation,Anthesis time,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,13/07/2017,Expert Annotation,Silking time,
110/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000110,22/09/2017,Operation,Harvesting,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,19/05/2017,Operation,Sowing,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,25/05/2017,Expert Annotation,Emergence,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,28/05/2017,Expert Annotation,3 leaf stage,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,13/07/2017,Expert Annotation,Anthesis time,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,13/07/2017,Expert Annotation,Silking time,
111/DKC4590/XXXX/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000111,22/09/2017,Operation,Harvesting,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,19/05/2017,Operation,Sowing,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,25/05/2017,Expert Annotation,Emergence,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,28/05/2017,Expert Annotation,3 leaf stage,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,13/07/2017,Expert Annotation,Anthesis time,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,13/07/2017,Expert Annotation,Silking time,
112/DZ_PG_63/ZM4392/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000112,22/09/2017,Operation,Harvesting,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,19/05/2017,Operation,Sowing,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,25/05/2017,Expert Annotation,Emergence,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,28/05/2017,Expert Annotation,3 leaf stage,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,14/07/2017,Expert Annotation,Anthesis time,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,15/07/2017,Expert Annotation,Silking time,
113/DZ_PG_06/ZM4376/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000113,22/09/2017,Operation,Harvesting,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,19/05/2017,Operation,Sowing,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,25/05/2017,Expert Annotation,Emergence,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,28/05/2017,Expert Annotation,3 leaf stage,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,07/07/2017,Expert Annotation,Anthesis time,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,15/07/2017,Expert Annotation,Silking time,
114/DZ_PG_33/ZM4353/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000114,22/09/2017,Operation,Harvesting,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,19/05/2017,Operation,Sowing,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,25/05/2017,Expert Annotation,Emergence,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,28/05/2017,Expert Annotation,3 leaf stage,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,04/07/2017,Expert Annotation,Anthesis time,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,08/07/2017,Expert Annotation,Silking time,
115/DZ_PG_09/ZM4368/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000115,22/09/2017,Operation,Harvesting,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,19/05/2017,Operation,Sowing,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,25/05/2017,Expert Annotation,Emergence,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,28/05/2017,Expert Annotation,3 leaf stage,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,10/07/2017,Expert Annotation,Anthesis time,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,10/07/2017,Expert Annotation,Silking time,
116/DZ_PG_08/ZM4343/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000116,22/09/2017,Operation,Harvesting,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,19/05/2017,Operation,Sowing,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,25/05/2017,Expert Annotation,Emergence,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,28/05/2017,Expert Annotation,3 leaf stage,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,10/07/2017,Expert Annotation,Anthesis time,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,10/07/2017,Expert Annotation,Silking time,
117/DZ_PG_23/ZM4388/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000117,22/09/2017,Operation,Harvesting,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,19/05/2017,Operation,Sowing,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,25/05/2017,Expert Annotation,Emergence,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,28/05/2017,Expert Annotation,3 leaf stage,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,13/07/2017,Expert Annotation,Anthesis time,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,13/07/2017,Expert Annotation,Silking time,
118/DZ_PG_74/ZM4397/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000118,22/09/2017,Operation,Harvesting,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,19/05/2017,Operation,Sowing,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,25/05/2017,Expert Annotation,Emergence,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,28/05/2017,Expert Annotation,3 leaf stage,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,13/07/2017,Expert Annotation,Anthesis time,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,13/07/2017,Expert Annotation,Silking time,
119/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000119,22/09/2017,Operation,Harvesting,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,19/05/2017,Operation,Sowing,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,25/05/2017,Expert Annotation,Emergence,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,28/05/2017,Expert Annotation,3 leaf stage,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,09/07/2017,Expert Annotation,Anthesis time,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,09/07/2017,Expert Annotation,Silking time,
12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000012,22/09/2017,Operation,Harvesting,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,19/05/2017,Operation,Sowing,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,25/05/2017,Expert Annotation,Emergence,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,28/05/2017,Expert Annotation,3 leaf stage,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,13/07/2017,Expert Annotation,Anthesis time,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,14/07/2017,Expert Annotation,Silking time,
120/DZ_PG_62/ZM4393/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000120,22/09/2017,Operation,Harvesting,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,19/05/2017,Operation,Sowing,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,25/05/2017,Expert Annotation,Emergence,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,28/05/2017,Expert Annotation,3 leaf stage,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,13/07/2017,Expert Annotation,Anthesis time,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,13/07/2017,Expert Annotation,Silking time,
121/DZ_PG_19/ZM4367/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000121,22/09/2017,Operation,Harvesting,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,19/05/2017,Operation,Sowing,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,25/05/2017,Expert Annotation,Emergence,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,28/05/2017,Expert Annotation,3 leaf stage,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,13/07/2017,Expert Annotation,Anthesis time,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,13/07/2017,Expert Annotation,Silking time,
122/DZ_PG_72/ZM4398/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000122,22/09/2017,Operation,Harvesting,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,19/05/2017,Operation,Sowing,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,25/05/2017,Expert Annotation,Emergence,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,28/05/2017,Expert Annotation,3 leaf stage,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,07/07/2017,Expert Annotation,Anthesis time,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,10/07/2017,Expert Annotation,Silking time,
123/DZ_PG_07/ZM4351/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000123,22/09/2017,Operation,Harvesting,
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,19/05/2017,Operation,Sowing,
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,25/05/2017,Expert Annotation,Emergence,
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,28/05/2017,Expert Annotation,3 leaf stage,
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,11/07/2017,Expert Annotation,Anthesis time,
124/DZ_PG_01/ZM4381/WW/2/DIA2017-05-19,http://www.phenome-fppn.fr/diaphen/2017/o17000124,10/07/2017,Expert Annotation,Silking time,
